RSVP Status,Side,Category,Relationship,Binary,Priority
Pending,Bride,V Family,Immediate Family,Yes,1
Accepted,Groom,J Family,Extended Family,No,2
Declined,Joint,JV Friends,Groomsmen,,3
,,High school/ College Friends,Bridesmaid,,
,,Work Colleagues,Ark Com + Coaches,,
,,Plus Ones,W Friends,,
,,V Parent's Business + Friends,R Friends + Business,,
,,J Parent's Business + Friends,Shift Exchange,,
,,Family Friends,V Caregroup,,
,,,J Caregroup,,
,,,Church Friends,,
,,,ITC + Hyrox,,
,,,Urbana,,
,,,Others,,